#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
甜美	tián měi	loved, cherished, pleasant
挑剔	tiāo tī	nitpick
調和	tiáo hé	mediate, reconcile, mix, blend, temper
調和	tiáo hé	be in harmony
調節	tiáo jié	regulate, adjust
條例	tiáo lì	regulations, rules, ordinances
調皮	tiáo pí	naughty
貼心	tiē xīn	intimate
聽寫	tīng xiě	dictation, dictate
停頓	tíng dùn	cease, be at a standstill, stop
停留	tíng liú	stay for a time or at a place
停滯	tíng zhì	stagnate, cease moving or making progress
通	tōng	[activity] Measure word for ①indicate certain actions lasting for a period of time. ②talking, shouting etc
通報	tōng bào	circulate notice
通車	tōng chē	be open to traffic, have transport service
通稱	tōng chēng	be generally called/known as
通貨膨脹	tōng huò péng zhàng	inflation
通緝	tōng qì	promulgate an order for the arrest of
通行	tōng xíng	pass/go through
通用	tōng yòng	in common use, current, general, interchangeable
同伴	tóng bàn	companion
同化	tóng huà	assimilate, take in, metabolize, absorb, ingest, imbibe, assimilation
同心	tóng xīn	united at heart or in common purpose
同鄉	tóng xiāng	fellow villager/townsman
同性戀	tóng xìng liàn	homosexuality, homosexual
同業	tóng yè	same trade/business, person of same trade/business
統統	tǒng tǒng	all, completely
統制	tǒng zhì	control
痛恨	tòng hèn	hate bitterly
偷渡	tōu dù	secretly ferry, steal across international border
偷懶	tōu lǎn	slack, laze, shirk, loaf on the job, truant, goldbrick, lazy, mess about
投保	tóu bǎo	insure
投機	tóu jī	speculate, be opportunistic
頭腦	tóu nǎo	brains, mind, head, leader, main threads, clue
投入	tóu rù	participate (in)
透過	tòu guò	via
透明	tòu míng	transparent
塗	tú	spread on, apply, scrawl
圖	tú	plan, seek, pursue
徒弟	tú dì	apprentice, disciple
圖畫	tú huà	drawing, picture, painting
突擊	tú jí	ambush, outfall, rush, thrust, blitz, onrush, sally, descent, sortie, assault, surprise attack, coup de main
